Uniprot	GN	PN	Strain	Factor	median.k	mad.k
A2A432	Cul4b	Cullin-4B (CUL-4B)	cej	iso	0.708203	0
A2A8U2	Tmem201	Transmembrane protein 201 (Spindle-associated membrane protein 1)	c57	ctrl	0.164014	0
A2A8U2	Tmem201	Transmembrane protein 201 (Spindle-associated membrane protein 1)	c57	iso	0.324414	0
A2A8U2	Tmem201	Transmembrane protein 201 (Spindle-associated membrane protein 1)	dba	ctrl	0.101636	0
A2A8U2	Tmem201	Transmembrane protein 201 (Spindle-associated membrane protein 1)	dba	iso	0.188062	0
A2A8U2	Tmem201	Transmembrane protein 201 (Spindle-associated membrane protein 1)	fvb	ctrl	0.417188	0
A2A8U2	Tmem201	Transmembrane protein 201 (Spindle-associated membrane protein 1)	fvb	iso	0.128003	0
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	aj	ctrl	0.0835995	0.0201796686
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	aj	iso	0.093274	0.02008923
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	balbc	ctrl	0.105054	0.0233465022
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	balbc	iso	0.094189	0.0208127388
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	c57	ctrl	0.078625	0.0200877474
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	c57	iso	0.080579	0.0219891819
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	cej	ctrl	0.089795	0.0291375378
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	cej	iso	0.100781	0.0195451158
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	dba	ctrl	0.0881775	0.0219217236
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	dba	iso	0.0969665	0.0257446077
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	fvb	ctrl	0.090405	0.0199528308
A2AAJ9	Obscn	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	fvb	iso	0.0864685	0.0224865942
A2ADF7	Slc25a34	Solute carrier family 25 member 34	balbc	ctrl	127.3	0
A2ADF7	Slc25a34	Solute carrier family 25 member 34	c57	ctrl	0.453809	0
A2ADF7	Slc25a34	Solute carrier family 25 member 34	c57	iso	0.306836	0
A2ADF7	Slc25a34	Solute carrier family 25 member 34	cej	iso	0.367139	0
A2ADF7	Slc25a34	Solute carrier family 25 member 34	dba	ctrl	0.326611	0.1335644688
A2ADF7	Slc25a34	Solute carrier family 25 member 34	dba	iso	0.210889	0
A2ADY9	Ddi2	Protein DDI1 homolog 2	aj	ctrl	0.181104	0
A2ADY9	Ddi2	Protein DDI1 homolog 2	balbc	ctrl	0.246045	0.0846994554
A2ADY9	Ddi2	Protein DDI1 homolog 2	balbc	iso	1.3158695	1.4938210581
A2ADY9	Ddi2	Protein DDI1 homolog 2	c57	ctrl	0.098584	0
A2ADY9	Ddi2	Protein DDI1 homolog 2	cej	ctrl	0.461133	0
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	aj	ctrl	0.716016	0.4032271698
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	aj	iso	0.400098	0.122344152
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	balbc	ctrl	0.3859375	0.0723931341
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	c57	ctrl	0.429883	0.2204359332
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	c57	iso	0.452344	0.2388957858
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	cej	ctrl	0.398877	0.0850612098
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	cej	iso	0.1921505	0.2018849007
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	dba	ctrl	0.5939455	0.4560729642
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	dba	iso	0.405469	0.0333006786
A2AGT5	Ckap5	Cytoskeleton-associated protein 5	fvb	iso	0.333691	0
A2AIL4	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	aj	ctrl	0.065686	0
A2AIL4	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	aj	iso	0.0592465	0.0048414303
A2AIL4	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	balbc	ctrl	0.0765505	0.0093203649
A2AIL4	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	balbc	iso	0.091382	0
A2AIL4	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	c57	iso	0.03941	0
A2AIL4	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	cej	ctrl	0.070386	0
A2AIL4	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	cej	iso	0.068921	0
A2AIL4	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	dba	ctrl	0.0767945	0.0161981463
A2AIL4	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	fvb	ctrl	0.042249	0
A2AIL4	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	fvb	iso	0.083325	0
A2AJI0	Map7d1	MAP7 domain-containing protein 1	aj	iso	0.551953	0.00651602699999989
A2AJI0	Map7d1	MAP7 domain-containing protein 1	balbc	ctrl	0.6789065	0.183152991
A2AJI0	Map7d1	MAP7 domain-containing protein 1	balbc	iso	0.406201	0.2081288706
A2AJI0	Map7d1	MAP7 domain-containing protein 1	c57	ctrl	0.468945	0.1256014242
A2AJI0	Map7d1	MAP7 domain-containing protein 1	cej	ctrl	0.951367	0
A2AJI0	Map7d1	MAP7 domain-containing protein 1	cej	iso	0.522412	0.3753557724
A2AJI0	Map7d1	MAP7 domain-containing protein 1	dba	iso	0.4154785	0.1617968793
A2AJI0	Map7d1	MAP7 domain-containing protein 1	fvb	ctrl	0.583203	0.3130976919
A2AJI0	Map7d1	MAP7 domain-containing protein 1	fvb	iso	0.5128905	0.3471226206
A2AKG8	Focad	Focadhesin	dba	ctrl	0.097974	0
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	aj	ctrl	0.06593	0.0173293701
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	aj	iso	0.075879	0.015745212
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	balbc	ctrl	0.08064	0.0202701072
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	balbc	iso	0.093213	0.0425758242
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	c57	ctrl	0.093579	0.01393644
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	c57	iso	0.080518	0.024522204
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	cej	ctrl	0.07771	0.031942617
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	cej	iso	0.069714	0.006604983
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	dba	ctrl	0.069852	0.0202701072
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	dba	iso	0.063245	0.00832628159999999
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	fvb	ctrl	0.072522	0.0099082158
A2AMM0	Murc	Muscle-related coiled-coil protein (Muscle-restricted coiled-coil protein)	fvb	iso	0.066846	0.0157904313
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	aj	ctrl	0.101025	0
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	aj	iso	0.1656005	0.0193649799
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	balbc	ctrl	0.244092	0.0656962299
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	balbc	iso	0.3651855	0.0662396028
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	c57	ctrl	0.125317	0.0732982614
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	c57	iso	0.200146	0.0760114194
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	cej	ctrl	0.280713	0.124152924
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	cej	iso	0.304395	0.156006585
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	dba	ctrl	0.254346	0.0720306384
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	dba	iso	0.195996	0.0810789462
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	fvb	ctrl	0.32124	0.0510370223999999
A2AN08	Ubr4	E3 ubiquitin-protein ligase UBR4 (EC 6.3.2.-) (N-recognin-4) (Zinc finger UBR1-type protein 1) (p600)	fvb	iso	0.235547	0.1060548258
A2APY7	Ndufaf5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 (Probable methyltransferase C20orf7 homolog, mitochondrial) (EC 2.1.1.-)	aj	ctrl	0.070203	0
A2APY7	Ndufaf5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 (Probable methyltransferase C20orf7 homolog, mitochondrial) (EC 2.1.1.-)	aj	iso	0.058545	0.0066064656
A2APY7	Ndufaf5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 (Probable methyltransferase C20orf7 homolog, mitochondrial) (EC 2.1.1.-)	balbc	ctrl	0.045667	0
A2APY7	Ndufaf5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 (Probable methyltransferase C20orf7 homolog, mitochondrial) (EC 2.1.1.-)	c57	iso	0.062695	0
A2APY7	Ndufaf5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 (Probable methyltransferase C20orf7 homolog, mitochondrial) (EC 2.1.1.-)	cej	ctrl	0.039349	0.0246586032
A2APY7	Ndufaf5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 (Probable methyltransferase C20orf7 homolog, mitochondrial) (EC 2.1.1.-)	cej	iso	0.062207	0
A2APY7	Ndufaf5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 (Probable methyltransferase C20orf7 homolog, mitochondrial) (EC 2.1.1.-)	dba	ctrl	0.069287	0
A2APY7	Ndufaf5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 (Probable methyltransferase C20orf7 homolog, mitochondrial) (EC 2.1.1.-)	dba	iso	0.069348	0
A2AQ25	Skt	Sickle tail protein (Enhancer trap locus 4)	aj	ctrl	0.323438	0
A2AQ25	Skt	Sickle tail protein (Enhancer trap locus 4)	balbc	ctrl	0.334668	0
A2AQ25	Skt	Sickle tail protein (Enhancer trap locus 4)	c57	ctrl	0.232861	0
A2AQ25	Skt	Sickle tail protein (Enhancer trap locus 4)	c57	iso	0.218823	0.0783657882
A2AQ25	Skt	Sickle tail protein (Enhancer trap locus 4)	cej	ctrl	0.2848635	0.0278706561
A2AQ25	Skt	Sickle tail protein (Enhancer trap locus 4)	dba	ctrl	0.268262	0.0926625
A2ASQ1	Agrn	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	aj	ctrl	0.062268	0
A2ASQ1	Agrn	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	balbc	iso	0.085645	0.0027146406
A2ASQ1	Agrn	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	c57	ctrl	0.074872	0.00837075960000001
A2ASQ1	Agrn	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	c57	iso	0.042554	0
A2ASQ1	Agrn	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	cej	ctrl	0.0680055	0.0147496461
A2ASQ1	Agrn	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	cej	iso	0.1074035	0.0514439961
A2ASQ1	Agrn	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	dba	ctrl	0.1096315	0.0447930525
A2ASQ1	Agrn	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	fvb	iso	0.068616	0.0107681238
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	aj	ctrl	0.0585755	0.0133471065
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	aj	iso	0.068127	0.0134827644
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	balbc	ctrl	0.063855	0.0128044749
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	balbc	iso	0.06178	0.0128496942
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	c57	ctrl	0.0586515	0.0113107554
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	c57	iso	0.066968	0.0137555628
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	cej	ctrl	0.058118	0.0136651242
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	cej	iso	0.075269	0.0152010978
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	dba	ctrl	0.060803	0.0128496942
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	dba	iso	0.068433	0.0128496942
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	fvb	ctrl	0.064526	0.01312101
A2ASS6	Ttn	Titin (EC 2.7.11.1) (Connectin)	fvb	iso	0.0681575	0.0128274552
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	aj	ctrl	0.168652	0.0627999708
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	aj	iso	0.232251	0.0541134174
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	balbc	ctrl	0.18916	0.0112203168
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	balbc	iso	0.246533	0.0137548215
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	c57	ctrl	0.123608	0.0294992922
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	c57	iso	0.2104005	0.0378248325
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	cej	ctrl	0.199414	0.065152857
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	cej	iso	0.1848875	0.0451095876
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	dba	ctrl	0.143994	0.0247045638
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	dba	iso	0.21214	0.0658771071
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	fvb	ctrl	0.170361	0.0300434064
A2AUC9	Klhl41	Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10)	fvb	iso	0.188794	0.058547874
A2AWA9	Rabgap1	Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA)	cej	iso	1.870312	0
A3KFX0	Nt5c1a	Cytosolic 5'-nucleotidase 1A (cN1A) (EC 3.1.3.5) (Cytosolic 5'-nucleotidase IA) (cN-IA)	c57	iso	0.383984	0
A3KFX0	Nt5c1a	Cytosolic 5'-nucleotidase 1A (cN1A) (EC 3.1.3.5) (Cytosolic 5'-nucleotidase IA) (cN-IA)	cej	ctrl	0.050061	0
A3KFX0	Nt5c1a	Cytosolic 5'-nucleotidase 1A (cN1A) (EC 3.1.3.5) (Cytosolic 5'-nucleotidase IA) (cN-IA)	cej	iso	0.308057	0.0923007456
A3KFX0	Nt5c1a	Cytosolic 5'-nucleotidase 1A (cN1A) (EC 3.1.3.5) (Cytosolic 5'-nucleotidase IA) (cN-IA)	dba	ctrl	0.540234	0
A3KFX0	Nt5c1a	Cytosolic 5'-nucleotidase 1A (cN1A) (EC 3.1.3.5) (Cytosolic 5'-nucleotidase IA) (cN-IA)	fvb	iso	0.13374	0
A3KG59	Pm20d2	Peptidase M20 domain-containing protein 2 (Aminoacylase-1-like protein 2)	aj	ctrl	0.170239	0
