ID	t	A0	notFoundBySE
0	0	0.313221	
0	1	0.309985	
0	3	0.296747	
0	5	0.28105	
0	7	0.261614	
0	14	0.223437	
1	1	0.216048	
1	3	0.392526	
1	7	0.275669	
1	10	0.244914	
1	14	0.222407	
2	0	0.644489	
2	3	0.467241	
2	7	0.323599	
2	14	0.214603	
3	0	0.336653	
3	3	0.529256	
3	5	0.333838	
3	7	0.360631	
3	10	0.364535	
3	14	0.0403369	
4	0	0.560461	
4	1	0.434506	
4	5	0.507477	
4	7	0.470882	
4	14	0.336538	
5	5	0.451838	
5	7	0.664259	
5	10	0.306125	
5	14	0.614276	
6	1	0.200113	
6	3	0.256777	
6	5	0.108368	
6	7	0.103545	
6	14	0.334243	
7	0	0.424631	
7	1	0.365939	
7	3	0.319417	
7	10	0.243733	
7	14	0.0617707	
8	0	0.393331	
8	1	0.383854	
8	3	0.314577	
8	5	0.27331	
8	7	0.335384	
8	10	0.253872	
8	14	0.252786	
9	0	0.380083	
9	1	0.323161	
9	3	0.327887	
9	5	0.160341	
9	7	0.146031	
10	1	0.371125	
10	3	0.240601	
10	5	0.26614	
10	7	0.184372	
10	10	0.197071	
10	14	0.172042	
11	0	0.267356	
11	1	0.438998	
11	3	0.281516	
11	7	0.215231	
11	14	0.230101	
12	0	0.557026	
12	1	0.421008	
12	3	0.375305	
12	7	0.305391	
13	0	0.286089	
13	1	0.336007	
13	3	0.246789	
13	10	0.0915859	
13	14	0.161602	
14	0	0.391879	
14	1	0.339605	
14	3	0.254747	
14	7	0.102942	
14	10	0.148058	
15	0	0.404094	
15	1	0.314318	
15	3	0.230877	
15	5	0.148453	
15	7	0.149601	
15	10	0.640437	
16	0	0.524734	
16	1	0.579107	
16	3	0.425785	
16	5	0.556805	
16	7	0.433499	
16	10	0.316653	
17	0	0.24262	
17	1	0.311401	
17	3	0.238634	
17	7	0.105146	
18	0	0.319724	
18	3	0.177585	
18	5	0.0204307	
18	10	0.463944	
19	3	0.416515	
19	5	0.290572	
19	7	0.222695	
19	14	0.18173	
20	0	0.585102	
20	1	0.494169	
20	3	0.443551	
20	5	0.298378	
20	14	0.618568	
21	0	0.545136	
21	1	0.439837	
21	3	0.282763	
21	14	0.171506	
22	0	0.775131	
22	1	0.471588	
22	5	0.340126	
22	7	0.27409	
22	10	0.356719	
22	14	0.485064	
23	0	0.157475	
23	1	0.0990736	
23	5	0.18513	
23	7	0.179261	
24	0	0.313348	
24	1	0.353856	
24	3	0.397858	
24	7	0.334733	
24	10	0.185605	
24	14	0.129562	
25	0	0.468014	
25	1	0.431157	
25	3	0.406402	
25	5	0.347775	
25	7	0.33849	
25	14	0.315127	
26	1	0.313378	
26	5	0.303665	
26	7	0.282496	
26	14	0.19906	
27	0	0.342869	
27	1	0.347342	
27	3	0.321164	
27	5	0.297821	
27	7	0.279417	
27	10	0.24348	
27	14	0.223636	
28	0	0.424273	
28	1	0.408023	
28	3	0.387343	
28	5	0.372637	
28	7	0.371625	
28	14	0.266889	
29	0	0.426118	
29	1	0.527639	
29	5	0.561023	
29	14	0.458336	
30	0	0.423622	
30	1	0.393671	
30	3	0.378588	
30	5	0.354091	
30	7	0.339846	
30	10	0.267946	
30	14	0.268253	
31	0	0.366136	
31	1	0.224613	
31	3	0.258643	
31	5	0.205191	
31	7	0.186879	
31	10	0.182803	
31	14	0.118476	
32	0	0.218449	
32	1	0.298451	
32	3	0.229287	
32	5	0.189652	
32	7	0.16976	
32	10	0.147367	
32	14	0.126077	
33	0	0.491341	
33	1	0.478434	
33	3	0.421374	
33	5	0.373823	
33	7	0.344252	
33	10	0.403811	
33	14	0.246773	
34	0	0.444792	
34	1	0.259722	
34	3	0.289664	
34	7	0.306866	
34	10	0.155756	
35	0	0.479568	
35	1	0.444843	
35	3	0.37421	
35	5	0.337746	
35	7	0.278479	
35	10	0.288781	
36	3	0.349624	
36	7	0.332372	
36	10	0.468724	
36	14	0.64164	
37	3	0.407419	
37	7	0.385468	
37	10	0.352597	
37	14	0.0758101	
38	0	0.502831	
38	1	0.445753	
38	3	0.459393	
38	5	0.453162	
38	7	0.450968	
38	10	0.413017	
38	14	0.301829	
39	0	0.245496	
39	3	0.620228	
39	5	0.409647	
39	7	0.332372	
39	10	0.468724	
39	14	0.60333	
40	0	0.418223	
40	1	0.312771	
40	3	0.336746	
40	7	0.316259	
40	10	0.171555	
41	0	0.310149	
41	1	0.34851	
41	3	0.0531487	
41	7	0.158035	
41	10	0.996717	
41	14	0.323741	
42	0	0.367656	
42	3	0.204046	
42	5	0.529615	
42	7	0.524792	
42	10	0.713154	
42	14	0.333124	
43	0	0.412909	
43	1	0.418833	
43	3	0.421794	
43	5	0.443365	
43	7	0.293863	
43	10	0.346279	
43	14	0.319519	
44	0	0.515715	
44	1	0.472833	
44	3	0.466282	
44	5	0.452728	
44	7	0.415333	
44	10	0.40349	
44	14	0.3047	
45	0	0.784533	
45	3	0.580349	
45	5	0.54119	
45	14	0.525487	
46	0	0.417691	
46	1	0.422806	
46	3	0.398876	
46	5	0.404786	
46	7	0.366998	
46	14	0.296178	
47	1	0.440492	
47	3	0.491491	
47	5	0.367629	
47	7	0.377789	
47	10	0.283326	
47	14	0.285715	
48	0	0.515671	
48	5	0.269424	
48	7	0.255676	
48	14	0.233521	
49	0	0.308191	
49	1	0.237885	
49	3	0.222276	
49	5	0.169161	
49	7	0.197849	
49	10	0.256112	
49	14	0.122364	
50	0	0.455275	
50	1	0.345586	
50	3	0.863602	
50	5	0.274519	
50	7	0.299465	
50	10	0.228676	
50	14	0.166088	
51	0	0.666627	
51	5	0.179496	
51	7	0.346805	
51	10	0.31268	
52	0	0.166827	
52	1	0.148531	
52	3	0.149027	
52	5	0.111279	
52	7	0.089664	
52	14	0.0827877	
53	0	0.393108	
53	3	0.310311	
53	5	0.264026	
53	7	0.214205	
54	0	0.437984	
54	3	0.334641	
54	5	0.265029	
54	7	0.216093	
54	10	0.160301	
54	14	0.16295	
55	0	0.448759	
55	3	0.334484	
55	5	0.238184	
55	10	0.193312	
56	1	0.614933	
56	3	0.403618	
56	5	0.418548	
56	14	0.243525	
57	0	0.567587	
57	1	0.522222	
57	3	0.417018	
57	5	0.399188	
57	7	0.325153	
57	14	0.241996	
58	1	0.542659	
58	3	0.440337	
58	7	0.345546	
58	10	0.3183	
59	0	0.357902	
59	1	0.35047	
59	3	0.174945	
59	5	0.212864	
59	7	0.1965	
59	10	0.0846117	
59	14	0.0695051	
60	0	0.335821	
60	1	0.488964	
60	3	0.275924	
60	7	0.391142	
60	10	0.124878	
61	0	0.570816	
61	1	0.411121	
61	3	0.50316	
61	5	0.430533	
61	7	0.429181	
61	10	0.0843124	
61	14	0.436645	
62	0	0.340449	
62	1	0.497763	
62	3	0.240993	
62	5	0.208374	
62	7	0.272596	
62	10	0.23324	
62	14	0.204665	
63	0	0.288626	
63	1	0.270704	
63	3	0.213944	
63	5	0.220472	
63	7	0.147638	
63	14	0.102496	
64	0	0.54257	
64	1	0.519367	
64	5	0.41165	
64	7	0.361451	
64	10	0.964399	
64	14	0.260369	
65	0	0.410481	
65	3	0.304668	
65	5	0.330138	
65	10	0.309091	
66	0	0.226211	
66	1	0.177251	
66	3	0.134476	
66	7	0.0978772	
67	0	0.131003	
67	1	0.283691	
67	3	0.342419	
67	7	0.174548	
68	0	0.691682	
68	1	0.47981	
68	3	0.406124	
68	5	0.558248	
68	7	0.530018	
68	10	0.226821	
68	14	0.454093	
69	0	0.414052	
69	3	0.469588	
69	5	0.325475	
69	14	0.311295	
70	0	0.289974	
70	1	0.290435	
70	3	0.255089	
70	7	0.17951	
70	14	0.104083	
71	0	0.285546	
71	1	0.233023	
71	3	0.19591	
71	5	0.238106	
71	7	0.132737	
71	10	0.155964	
71	14	0.122778	
72	5	0.404323	
72	7	0.351597	
72	10	0.431304	
72	14	0.259977	
73	0	0.218904	
73	1	0.176182	
73	3	0.16186	
73	5	0.116106	
74	0	0.430553	
74	1	0.374083	
74	3	0.315499	
74	5	0.281512	
74	7	0.217994	
74	10	0.188332	
74	14	0.144815	
75	0	0.351977	
75	1	0.310182	
75	5	0.202002	
75	7	0.152383	
76	0	0.325424	
76	1	0.267212	
76	5	0.178856	
76	7	0.166261	
77	0	0.542459	
77	3	0.414783	
77	5	0.352693	
77	7	0.31932	
77	10	0.14926	
77	14	0.220464	
78	0	0.485323	
78	1	1.0195	
78	3	0.363209	
78	5	0.29772	
78	7	0.275611	
78	10	0.239471	
78	14	0.207195	
79	0	1	
79	3	0.440865	
79	5	1	
79	7	0.328227	
79	10	0.260688	
79	14	0.243747	
80	0	0.353038	
80	3	0.251844	
80	5	0.20611	
80	7	0.170095	
80	10	0.148423	
80	14	0.0948001	
81	0	0.35658	
81	1	0.332515	
81	3	0.244458	
81	5	0.197982	
81	10	0.153944	
82	0	0.451009	
82	1	0.460979	
82	3	0.347785	
82	5	0.270663	
82	7	0.237651	
82	10	0.23235	
82	14	0.127571	
83	0	0.441915	
83	1	0.374714	
83	3	0.261811	
83	5	0.209947	
83	7	0.233946	
83	10	0.512404	
83	14	0.117974	
84	0	0.501589	
84	1	0.510532	
84	3	0.393384	
84	5	0.363419	
84	10	0.248522	
84	14	0.213183	
85	0	0.120988	
85	1	0.201095	
85	3	0.0739427	
85	5	0.156655	
86	0	0.304865	
86	1	0.308946	
86	3	0.244596	
86	5	0.182004	
86	7	0.161533	
86	10	0.549672	
86	14	0.0839771	
87	1	0.411813	
87	3	0.370104	
87	7	0.282147	
87	14	0.171926	
88	0	0.294276	
88	1	0.277963	
88	3	0.279025	
88	5	0.233544	
88	7	0.187319	
88	10	0.15811	
88	14	0.117462	
89	0	0.716276	
89	1	0.389669	
89	5	0.271369	
